source_term,                        target_term,                        note
module,                             module,
🌱 The Flourishing Update,          🌱 La Mise à jour Florissante,
⚙️ The MetaData Update,             ⚙️ La Mise à jour des Métadonnées,
⚡ A Performance Update,            ⚡ Une Mise à jour de Performance,
🪐 The Dimensional Update,          🪐 La Mise à jour Dimensionnelle,
⬆️ A Minecraft Update,              ⬆️ Une Mise à jour Minecraft,
🩹 A Quick Hotfix,                  🩹 Un Correctif Rapide,
🚂 The Pipeline Update,             🚂 La Mise à jour Pipeline,
Gunivers,                           Gunivers,
Bookshelf,                          Bookshelf,
🛠️ Changelog,                       🛠️ Journal des modifications
⚠️ BREAKING CHANGES,                ⚠️ CHANGEMENTS CASSANTS,
🎉 Addition,                        🎉 Ajouts,
⚡ Enhancements,                    ⚡ Améliorations,
🐛 Bug Fixes,                       🐛 Corrections de bogues,
📦 Requirements,                    📦 Prérequis,
🛠️ Step-by-Step Implementation,     🛠️ Implémentation étape par étape,
✔️ Conclusion,                      ✔️ Conclusion,
🎯 What We'll Build,                🎯 Ce que nous allons construire,
score,                              score,
objective,                          objectif,
function,                           fonction,
macro,                              macro,
storage,                            stockage de commandes,
fake score,                         score factice,
outdated module,                    module obsolète,
command context,                    contexte de commande,
execution context,                  contexte d'exécution,
this <noun>,                        ce/cette/ces,                       S'adapte au genre et nombre du nom en français
the <noun>,                         le/la/les,                          S'adapte au genre et nombre du nom en français
the project,                        le projet,
feature,                            fonctionnalité,                     "Élément orienté utilisateur conçu pour accomplir une tâche. Les fonctionnalités sont souvent représentées par des tags de fonction, mais peuvent aussi inclure des tables de butin, structures, prédicats, etc."
metadata,                           métadonnées,
header,                             en-tête,                            En-tête de fichier pour le contenu au début des fichiers
function header,                    en-tête de fonction,
license-only,                       licence uniquement,
license-only header,                en-tête licence uniquement,
bundle,                             paquet/bundle,
More info [here](<...>),            Plus d'infos [ici](<...>),
pull request,                       demande de fusion,
issue,                              problème/ticket,
tag,                                tag/étiquette,                      Tag pour les ressources dans `xxx/tags/xxx/`, étiquette pour les commandes `/tag`
meta-documentation,                 méta-documentation,
bug,                                bogue,
this release,                       cette version,
Bookshelf is now based on <...>,    Bookshelf est maintenant basé sur <...>,
callback,                           rappel/callback,
experimental,                       expérimental,                       Utilisé pour marquer les fonctionnalités expérimentales
at <entity>,                        à l'entité,
as <entity>,                        en tant qu'entité,
output,                             sortie,
input,                              entrée,
return,                             retour/valeur de retour,
credit,                             crédits,
shape,                              forme,
state,                              état,
block display,                      entité d'affichage de bloc,
text display,                       entité d'affichage de texte,
item display,                       entité d'affichage d'objet,
falling block,                      bloc qui tombe,
emit <particle>,                    émettre <particule>,
destroy,                            détruire,
predicate,                          prédicat,
spline,                             spline/courbe spline,
weak dependedency,                  dépendance faible,
Special Arguments,                  Arguments spéciaux,
interaction,                        interaction,
interaction entity,                 entité d'interaction,
local position,                     position locale,
"\"<...>\"",                        "« ... »",                          Utiliser les guillemets français pour les citations, sauf pour le code ou références techniques
as to at,                           de l'exécuteur vers la position,
raycast,                            rayon/raycast,
persistant entity,                  entité persistante,
