source_term,                        target_term,                        note
module,                             模块,
🌱 The Flourishing Update,          🌱 繁盛更新,
⚙️ The MetaData Update,             ⚙️ 元数据更新,
⚡ A Performance Update,            ⚡ 性能更新,
🪐 The Dimensional Update,          🪐 多维更新,
⬆️ A Minecraft Update,              ⬆️ Minecraft更新,
🩹 A Quick Hotfix,                  🩹 快速热修复,
🚂 The Pipeline Update,             🚂 管线更新,
Gunivers,                           Gunivers,
Bookshelf,                          Bookshelf,
🛠️ Changelog,                       🛠️ 更新日志
⚠️ BREAKING CHANGES,                ⚠️ 破坏性变更,
🎉 Addition,                        🎉 新增内容,
⚡ Enhancements,                    ⚡ 优化改进,
🐛 Bug Fixes,                       🐛 漏洞修复,
📦 Requirements,                    📦 要求,
🛠️ Step-by-Step Implementation,     🛠️ 逐步实现,
✔️ Conclusion,                      ✔️ 结语,
🎯 What We'll Build,                🎯 我们要构建什么,
score,                              分数,
objective,                          记分项,
function,                           函数,
macro,                              宏,
storage,                            命令存储,
fake score,                         虚拟分数,
outdated module,                    过时模块,
command context,                    命令上下文,
execution context,                  执行上下文,
this <noun>,                        这次/这个/这种/此,                  能翻译则翻译，若不合适则不翻译，优先级从左到右。
the <noun>,                         本次/本,                            能翻译则翻译，若不合适则不翻译，优先级从左到右。
the project,                        本项目,
feature,                            特性,                               "原定义为“A user-facing element designed to accomplish a task. Features are often represented as function tags, but can also include loot tables, structures, predicates, and more.”。"
metadata,                           元数据,
header,                             文件头/头文件,                      文件头为文件开头内容，通常用于文档或声明版权信息，头文件为标识类文件
function header,                    函数文件头/函数头文件,
license-only,                       纯许可证的,
license-only header,                纯许可证文件头,
bundle,                             捆绑包,
More info [here](<...>),            详见[此处](<...>),
pull request,                       拉取请求,
issue,                              议题,
tag,                                标签/计分板标签,                    位于`xxx/tags/xxx/`目录下的资源应翻译为标签，使用`/tag`命令编辑的应翻译为计分板标签
meta-documentation,                 元文档,
bug,                                漏洞,
this release,                       这个版本,
Bookshelf is now based on <...>,    Bookshelf 现在适配 <...>,
callback,                           回调,
experimental,                       实验性,                             用于标记实验性功能
at <entity>,                        在实体处,
as <entity>,                        作为实体,
output,                             输出,
input,                              输入,
return,                             返回值,
credit,                             制作人员,
shape,                              形状,
state,                              状态,
block display,                      方块展示实体,
text display,                       文本展示实体,
item display,                       物品展示实体,
falling block,                      下落的方块,
emit <particle>,                    发射 <粒子>,
destroy,                            破坏
predicate,                          谓词,
spline,                             样条曲线,
weak dependedency,                  弱依赖,
Special Arguments,                  特殊参数,
interaction,                        交互实体/交互,
interaction entity,                 交互实体,
local position,                     局部坐标,
"\"<...>\"",                        “<...>”,                            在翻译后的中文的引用文本（如名人名言）中，必须使用中文引号，除非该引号具有其他功能（如代码，英文引用等）
as to at,                           从执行者到执行位置,
raycast,                            射线检测,
persistant entity,                  常态实体,
